сапогоу|sapogu|сапогоу
г҃ла|golgola|глагола
емоу|jemu|ѥмоу
жена|žena|жена
г҃и|gospodi|господи
виждѫ|viђǫ|виждѫ
ѣко|ako|ако
пророкъ|prorokъ|пророкъ
еси|jesi|ѥси
тꙑ|ty|тъі
о҃ци|otьki|отьци
наши|naši|наши
въ|vъ|въ
горѣ|gorě|горѣ
сеі|sejь|сеи
поклонишѧ|poklonišę|поклонишѧ
сѧ|sę|сѧ
ꙇ|i|и
вꙑ|vy|въі
г҃лете|golgoĺete|глагол҄ете
ѣко|ako|ако
въ|vъ|въ
е҃рмѣхъ||
естъ|jestъ|ѥстъ
мѣсто|město|мѣсто
ꙇдеже|jьdeže|идеже
клан҄ѣти|klańǢti|кланꙗти
сѧ|sę|сѧ
подобаетъ|podobajetъ|подобаѥтъ
г҃ла|golgola|глагола
еі|jejь|ѥи
и҃с|jisusъ|исоусъ
жено|ženo|жено
вѣрѫ|věrǫ|вѣрѫ
ми|mъně|мънѣ
ꙇми||
ѣко|ako|ако
грѧдетъ|grędetъ|грѧдетъ
часъ|čǢsъ|часъ
егда|jegъda|ѥгъда
ни|ni|ни
горѣ|gorě|горѣ
сеі|sejь|сеи
ни|ni|ни
въ|vъ|въ
е҃рлмѣхъ||
поклоните|poklonite|поклоните
сѧ|sę|сѧ
о҃цю|otьku|отьцоу
д҃хомь|duxomь|доухомь
ꙇ|i|и
истиноѭ|jьstinojǫ|истиноѭ
ꙇбо|ibo|ибо
о҃ць|otьkь|отьць
тацѣхъ|takěxъ|тацѣхъ
ꙇштетъ|jьščetъ|ищетъ
клан҄ѣѭштихъ|klańǢjǫћьjixъ|кланꙗѭщиихъ
сѧ|sę|сѧ
емоу|jemu|ѥмоу
д҃хъ|duxъ|доухъ
бо|bo|бо
естъ|jestъ|ѥстъ
б҃ъ|bogъ|богъ
ꙇже|jьže|иже
клан҄ѣетъ|klańǢjetъ|кланꙗѥтъ
сѧ|sę|сѧ
емоу|jemu|ѥмоу
д҃хомь|duxomь|доухомь
ꙇ|i|и
истиноѭ|jьstinojǫ|истиноѭ
достоꙇтъ|dostojitъ|достоитъ
клан҄ѣти|klańǢti|кланꙗти
сѧ|sę|сѧ
г҃ла|golgola|глагола
емоу|jemu|ѥмоу
жена|žena|жена
вѣмь|věmь|вѣмь
ѣко|ako|ако
месиѣ|mesijǢ|месиꙗ
придетъ|prijьdetъ|приидетъ
рекомꙑ|rekomъjь|рекомъіи
х҃ъ|xristosъ|христосъ
егда|jegъda|ѥгъда
тъ|tъ|тъ
придетъ|prijьdetъ|приидетъ
вьзвѣститъ|vъzvěstitъ|възвѣститъ
намъ|namъ|намъ
всѣ|vьxa|вьсꙗ
г҃ла|golgola|глагола
еі|jejь|ѥи
и҃с|jisusъ|исоусъ
азъ|azъ|азъ
есмь|jesmь|ѥсмь
г҃лѧи|golgoĺęjь|глаголѩи
съ|﻿sъ|﻿съ
тобоѭ|tobojǫ|тобоѭ
ꙇ|i|и
тогдажде||
придѫ|prijьdǫ|приидѫ
оученици|učeniki|оученици
его|jego|ѥго
ꙇ|i|и
чюждаахѫ|čuђǢaxǫ|чоуждаахѫ
сѧ|sę|сѧ
ѣко|ako|ако
съ|﻿sъ|﻿съ
женоѭ|ženojǫ|женоѭ
г҃лааше|golgolaaše|глаголааше
ꙇ|i|и
никътоже|nikъtože|никътоже
не|ne|не
рече|reče|рече
чесо|česo|чесо
ꙇштеши|jьščeši|ищеши
ꙇли|ili|или
чьто|čьto|чьто
г҃леши|golgoĺeši|глагол҄еши
съ|﻿sъ|﻿съ
н҄еѭ|ńejǫ|н҄еѭ
остави|ostavi|остави
же|že|же
водоносъ|vodonosъ|водоносъ
своі|svojь|свои
жена|žena|жена
ꙇ|i|и
иде|jьde|иде
въ|vъ|въ
градъ|gordъ|градъ
ꙇ|i|и
г҃ла|golgola|глагола
ч҃комъ|čьlověkomъ|чьловѣкомъ
придѣте|prijьděte|приидѣте
ꙇ|i|и
видите|vidite|видите
ч҃ка|čьlověka|чьловѣка
ꙇже|jьže|иже
рече|reče|рече
ми|mъně|мънѣ
вьсѣ|vьxa|вьсꙗ
елико||
сътворихъ|sъtvorixъ|сътворихъ
еда|jeda|ѥда
тъ|tъ|тъ
естъ|jestъ|ѥстъ
х҃ъ|xristosъ|христосъ
Ꙇзидѫ|jьzidǫ|изидѫ
же|že|же
ꙇз|jьz|из
града|gorda|града
ꙇ|i|и
грѧдѣахѫ|gręděaxǫ|грѧдѣахѫ
къ|kъ|къ
н҄емоу|ńemu|н҄емоу
междю|meђu|междоу
же|že|же
симь|simь|симь
мол҄ѣахѫ|modĺǢaxǫ|молꙗахѫ
і|i|и
оученици|učeniki|оученици
его|jego|ѥго
г҃лѭште|golgoĺǫћe|глаголѭще
равви|ravvi|равви
ѣждь|jǢђь|ꙗждь
онъ|onъ|онъ
же|že|же
рече|reče|рече
къ|kъ|къ
н҄имъ|ńimъ|н҄имъ
азъ|azъ|азъ
брашьно|boršьno|брашьно
ꙇмамь|jьmamь|имамь
ѣсти|jǢsti|ꙗсти
егоже|jegože|ѥгоже
вꙑ|vy|въі
не|ne|не
вѣсте|věste|вѣсте
г҃лахѫ|golgolaaxǫ|глаголаахѫ
же|že|же
оученици|učeniki|оученици
къ|kъ|къ
себѣ|sebě|себѣ
еда|jeda|ѥда
къто|kъto|къто
принесе|prinese|принесе
емоу|jemu|ѥмоу
ѣсти|jǢsti|ꙗсти
г҃ла|golgola|глагола
ꙇмъ|jimъ|имъ
и҃с|jisusъ|исоусъ
мое|moje|моѥ
брашьно|boršьno|брашьно
естъ|jestъ|ѥстъ
да|da|да
твор҄ѭ|tvoŕǫ|творѭ
вол҄ѭ|voĺǫ|волѭ
посълавъшаего|posъlavъšǢjego|посълавъшаѥго
мѧ|mę|мѧ
ꙇ|i|и
съвръшѫ|sъvŕ̥šǫ|съврьшѫ
дѣло|dělo|дѣло
его|jego|ѥго
не|ne|не
вꙑ|vy|въі
ли|li|ли
г҃лете|golgoĺete|глагол҄ете
ѣко|ako|ако
еште|ješče|ѥще
четꙑре|četyre|четъіре
мѣсѧци|měsęki|мѣсѧци
