sapogu|сапогоу
i|и
ne|не
dostojitъ|достоитъ
tebě|тебѣ
vъzęti|възѧти
odra|одра
svojego|своѥго
onъ|онъ
že|же
otъvěћǞ|отъвѣща
jimъ|имъ
jьže|иже
mę|мѧ
sъtvori|сътвори
kěla|цѣла
tъ|тъ
mъně|мънѣ
reče|рече
vъzьmi|възьми
odrъ|одръ
tvojь|твои
i|и
xodi|ходи
vъsprosišę|въспросишѧ
že|же
i|и
kъto|къто
jestъ|ѥстъ
čьlověkъ|чьловѣкъ
rekъjь|рекъіи
tebě|тебѣ
vъzьmi|възьми
odrъ|одръ
tvojь|твои
i|и
xodi|ходи
