сапогоу|sapogu
всѣ|vьxa
г҃ла|golgola
еі|jejь
и҃с|jisusъ
азъ|azъ
есмь|jesmь
г҃лѧи|golgoĺęjь
съ|﻿sъ
тобоѭ|tobojǫ
ꙇ|i
тогдажде|
придѫ|prijьdǫ
оученици|učeniki
его|jego
ꙇ|i
чюждаахѫ|čuђǢaxǫ
сѧ|sę
ѣко|ako
съ|﻿sъ
женоѭ|ženojǫ
г҃лааше|golgolaaše
ꙇ|i
никътоже|nikъtože
не|ne
рече|reče
чесо|česo
ꙇштеши|jьščeši
ꙇли|ili
чьто|čьto
г҃леши|golgoĺeši
съ|﻿sъ
н҄еѭ|ńejǫ
остави|ostavi
же|že
водоносъ|vodonosъ
своі|svojь
жена|žena
ꙇ|i
иде|jьde
въ|vъ
градъ|gordъ
ꙇ|i
г҃ла|golgola
ч҃комъ|čьlověkomъ
придѣте|prijьděte
ꙇ|i
видите|vidite
ч҃ка|čьlověka
ꙇже|jьže
рече|reče
ми|mъně
вьсѣ|vьxa
елико|corrupted morphology tag
сътворихъ|sъtvorixъ
еда|jeda
тъ|tъ
естъ|jestъ
х҃ъ|xristosъ
Ꙇзидѫ|jьzidǫ
же|že
ꙇз|jьz
града|gorda
ꙇ|i
грѧдѣахѫ|gręděaxǫ
къ|kъ
н҄емоу|ńemu
междю|meђu
же|že
симь|simь
мол҄ѣахѫ|modĺǢaxǫ
і|i
оученици|učeniki
его|jego
г҃лѭште|golgoĺǫћe
равви|ravvi
ѣждь|jǢђь
онъ|onъ
же|že
рече|reče
къ|kъ
н҄имъ|ńimъ
азъ|azъ
брашьно|boršьno
ꙇмамь|jьmamь
ѣсти|jǢsti
егоже|jegože
вꙑ|vy
не|ne
вѣсте|věste
г҃лахѫ|golgolaaxǫ
же|že
оученици|učeniki
къ|kъ
себѣ|sebě
еда|jeda
къто|kъto
принесе|prinese
емоу|jemu
ѣсти|jǢsti
г҃ла|golgola
ꙇмъ|jimъ
и҃с|jisusъ
мое|moje
брашьно|boršьno
естъ|jestъ
да|da
твор҄ѭ|tvoŕǫ
вол҄ѭ|voĺǫ
посълавъшаего|posъlavъšǢjego
мѧ|mę
ꙇ|i
